# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  131       5.078585837806e-10       1.479009039558e-13      -5.619991105764e-12       0.000000000000e+00 
  132       5.126635243005e-10       1.485123909018e-13      -5.678883410491e-12       0.000000000000e+00 
  133       5.174676989060e-10       1.490592122512e-13      -5.735623797971e-12       0.000000000000e+00 
  134       5.222700457624e-10       1.495408655886e-13      -5.790145649287e-12       0.000000000000e+00 
  135       5.270694395145e-10       1.499569164892e-13      -5.842382930005e-12       0.000000000000e+00 
  136       5.318646897377e-10       1.503070001758e-13      -5.892270225764e-12       0.000000000000e+00 
  137       5.366545393899e-10       1.505908231749e-13      -5.939742777872e-12       0.000000000000e+00 
  138       5.414376632631e-10       1.508081649737e-13      -5.984736518899e-12       0.000000000000e+00 
  139       5.462126664345e-10       1.509588796762e-13      -6.027188108269e-12       0.000000000000e+00 
  140       5.509780827185e-10       1.510428976603e-13      -6.067034967855e-12       0.000000000000e+00 
  141       5.557323731177e-10       1.510602272339e-13      -6.104215317570e-12       0.000000000000e+00 
  142       5.604739242749e-10       1.510109562917e-13      -6.138668210966e-12       0.000000000000e+00 
  143       5.652010469246e-10       1.508952539715e-13      -6.170333570820e-12       0.000000000000e+00 
  144       5.699121069239e-10       1.507133891481e-13      -6.199152971097e-12       0.000000000000e+00 
  145       5.746059361747e-10       1.504657844715e-13      -6.225071994576e-12       0.000000000000e+00 
  146       5.792814594580e-10       1.501529708296e-13      -6.248038176393e-12       0.000000000000e+00 
  147       5.839375647126e-10       1.497755727277e-13      -6.268000318083e-12       0.000000000000e+00 
  148       5.885731022484e-10       1.493343100419e-13      -6.284908527459e-12       0.000000000000e+00 
  149       5.931868839598e-10       1.488299997720e-13      -6.298714258496e-12       0.000000000000e+00 
  150       5.977776825393e-10       1.482635577954e-13      -6.309370351212e-12       0.000000000000e+00 
  151       6.023442306911e-10       1.476360006197e-13      -6.316831071555e-12       0.000000000000e+00 
  152       6.068852203444e-10       1.469484471368e-13      -6.321052151281e-12       0.000000000000e+00 
  153       6.113993018667e-10       1.462021203757e-13      -6.321990827840e-12       0.000000000000e+00 
  154       6.158850832777e-10       1.453983492560e-13      -6.319605884257e-12       0.000000000000e+00 
  155       6.203411294626e-10       1.445385703412e-13      -6.313857689018e-12       0.000000000000e+00 
  156       6.247659613854e-10       1.436243295920e-13      -6.304708235948e-12       0.000000000000e+00 
  157       6.291580553027e-10       1.426572841197e-13      -6.292121184098e-12       0.000000000000e+00 
  158       6.335158419770e-10       1.416392039394e-13      -6.276061897625e-12       0.000000000000e+00 
  159       6.378377058900e-10       1.405719737235e-13      -6.256497485678e-12       0.000000000000e+00 
  160       6.421219844564e-10       1.394575945548e-13      -6.233396842276e-12       0.000000000000e+00 
  161       6.463670788810e-10       1.382981415931e-13      -6.206730651180e-12       0.000000000000e+00 
  162       6.505717993980e-10       1.370956291857e-13      -6.176471317240e-12       0.000000000000e+00 
  163       6.547350492009e-10       1.358521371237e-13      -6.142593105170e-12       0.000000000000e+00 
  164       6.588557152744e-10       1.345698551941e-13      -6.105072213422e-12       0.000000000000e+00 
