# Matter power spectrum P(k) at redshift z=0
# for k=1.02818e-05 to 1.74161 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.316318896341e-02       2.652994412619e+04 
       1.328973628836e-02       2.658917548966e+04 
       1.341631968053e-02       2.664603228913e+04 
       1.354293922198e-02       2.670047808239e+04 
       1.366959501816e-02       2.675253569854e+04 
       1.379628719744e-02       2.680226645971e+04 
       1.392301591080e-02       2.684970007744e+04 
       1.404978133141e-02       2.689482263399e+04 
       1.417658365442e-02       2.693771460429e+04 
       1.430342309661e-02       2.697844869527e+04 
       1.443029989623e-02       2.701729944101e+04 
       1.455721431270e-02       2.705176537631e+04 
       1.468416662651e-02       2.708564771366e+04 
       1.481115713901e-02       2.711717835963e+04 
       1.493818617233e-02       2.714584489933e+04 
       1.506525406920e-02       2.717361936176e+04 
       1.519236119297e-02       2.720125225513e+04 
       1.531950792747e-02       2.722562401103e+04 
       1.544669467700e-02       2.724737762596e+04 
       1.557392186633e-02       2.726697912178e+04 
       1.570118994070e-02       2.728476404056e+04 
       1.582849936586e-02       2.729880708331e+04 
       1.595585062807e-02       2.731365223037e+04 
       1.608324423422e-02       2.732627514393e+04 
       1.621068071191e-02       2.733541680704e+04 
       1.633816060953e-02       2.734368579422e+04 
       1.646568449638e-02       2.735026705039e+04 
       1.659325296284e-02       2.735476665484e+04 
       1.672086662050e-02       2.735747526129e+04 
       1.684852610237e-02       2.735853605609e+04 
       1.697623206302e-02       2.735679827111e+04 
       1.710398517884e-02       2.735663309696e+04 
       1.723178614822e-02       2.735052200853e+04 
       1.735963569184e-02       2.734612279163e+04 
       1.748753455290e-02       2.733886882956e+04 
       1.761548349738e-02       2.733001964978e+04 
       1.774348331438e-02       2.731837286351e+04 
       1.787153481638e-02       2.730791150592e+04 
       1.799963883961e-02       2.729626294881e+04 
       1.812779624434e-02       2.727933005475e+04 
       1.825600791529e-02       2.726311234390e+04 
       1.838427476196e-02       2.724292079553e+04 
       1.851259771906e-02       2.722717231479e+04 
       1.864097774690e-02       2.720443685218e+04 
       1.876941583181e-02       2.718211809620e+04 
       1.889791298660e-02       2.715841945862e+04 
       1.902647025101e-02       2.713486102683e+04 
       1.915508869220e-02       2.710760066360e+04 
       1.928376940523e-02       2.707969540225e+04 
       1.941251351359e-02       2.705073052951e+04 
       1.954132216974e-02       2.701845646982e+04 
       1.967019655564e-02       2.698780969199e+04 
       1.979913788334e-02       2.695588817762e+04 
       1.992814739560e-02       2.692176054835e+04 
       2.005722636643e-02       2.688342488392e+04 
       2.018637610180e-02       2.684618308431e+04 
       2.031559794026e-02       2.681194966714e+04 
       2.044489325360e-02       2.677316841063e+04 
       2.057426344760e-02       2.673133542043e+04 
       2.070370996272e-02       2.669011870940e+04 
       2.083323427482e-02       2.664760992395e+04 
       2.096283789598e-02       2.660607371585e+04 
       2.109252237529e-02       2.656122871589e+04 
       2.122228929961e-02       2.651550635683e+04 
       2.135214029449e-02       2.646903432742e+04 
       2.142857142857e-02       2.644121868375e+04 
       2.148207702499e-02       2.642150146443e+04 
       2.161210119660e-02       2.637038412361e+04 
       2.174221455618e-02       2.632023265624e+04 
       2.187241889289e-02       2.627336910444e+04 
       2.200271603920e-02       2.622208358069e+04 
       2.213310787188e-02       2.616721008331e+04 
       2.226359631309e-02       2.611636207203e+04 
       2.239418333141e-02       2.606186436881e+04 
       2.252487094303e-02       2.600735156849e+04 
       2.265566121281e-02       2.595096821442e+04 
       2.278655625556e-02       2.589440019032e+04 
       2.291755823719e-02       2.583695347675e+04 
       2.304866937603e-02       2.577593413973e+04 
       2.317989194409e-02       2.571676682913e+04 
       2.331122826844e-02       2.565633948239e+04 
       2.344268073257e-02       2.559908921930e+04 
       2.357425177786e-02       2.553407511278e+04 
       2.370594390501e-02       2.547516327408e+04 
       2.383775967561e-02       2.541254238314e+04 
       2.396970171368e-02       2.534791045424e+04 
       2.410177270733e-02       2.528484492737e+04 
       2.423397541041e-02       2.522015764344e+04 
       2.436631264427e-02       2.515226799832e+04 
       2.449878729953e-02       2.508609101602e+04 
       2.463140233793e-02       2.501926386240e+04 
       2.476416079426e-02       2.495139134991e+04 
       2.489706577833e-02       2.488338968681e+04 
       2.503012047701e-02       2.481796063267e+04 
       2.516332815631e-02       2.474904287610e+04 
       2.529669216361e-02       2.467958136292e+04 
       2.543021592991e-02       2.460741447829e+04 
       2.556390297211e-02       2.453930330615e+04 
       2.569775689550e-02       2.446812077141e+04 
       2.583178139619e-02       2.439609491271e+04 
       2.596598026375e-02       2.432384084536e+04 
       2.610035738384e-02       2.425112342427e+04 
       2.623491674100e-02       2.417513239676e+04 
       2.636966242154e-02       2.410166023240e+04 
       2.650459861645e-02       2.402763993595e+04 
       2.663972962456e-02       2.395657050956e+04 
       2.677505985564e-02       2.388204210877e+04 
       2.691059383378e-02       2.380551188202e+04 
       2.704633620079e-02       2.373004687193e+04 
       2.718229171974e-02       2.365417864296e+04 
       2.731846527865e-02       2.357874246036e+04 
       2.745486189436e-02       2.350214957533e+04 
       2.759148671642e-02       2.342493965634e+04 
       2.772834503128e-02       2.334757333464e+04 
       2.786544226656e-02       2.326999884340e+04 
       2.800278399543e-02       2.319010824411e+04 
       2.814037594133e-02       2.311191405482e+04 
       2.827822398269e-02       2.303339211828e+04 
       2.841633415794e-02       2.295795117981e+04 
       2.855471267072e-02       2.287896996266e+04 
       2.869336589525e-02       2.279806231004e+04 
       2.883230038197e-02       2.271864239216e+04 
       2.897152286336e-02       2.263924785625e+04 
       2.911104026004e-02       2.255931864057e+04 
       2.925085968712e-02       2.248003560824e+04 
       2.939098846077e-02       2.240055475993e+04 
       2.953143410513e-02       2.231914760048e+04 
       2.967220435950e-02       2.223688568314e+04 
       2.981330718577e-02       2.215537294742e+04 
       2.995475077630e-02       2.207703977549e+04 
       3.009654356201e-02       2.199629657223e+04 
       3.023869422091e-02       2.191308224510e+04 
       3.038121168700e-02       2.183160322694e+04 
       3.052410515956e-02       2.175117335064e+04 
       3.066738411282e-02       2.166854611930e+04 
       3.081105830615e-02       2.158743187075e+04 
       3.095513779466e-02       2.150552241749e+04 
       3.109963294032e-02       2.142158021483e+04 
       3.124455442358e-02       2.133889767658e+04 
       3.138991325559e-02       2.125655755013e+04 
       3.153572079093e-02       2.117409320368e+04 
       3.168198874105e-02       2.109154265864e+04 
       3.182872918824e-02       2.101168591163e+04 
       3.197595460043e-02       2.092868500741e+04 
       3.212367784663e-02       2.084617368889e+04 
       3.227191221315e-02       2.076297265982e+04 
       3.242067142074e-02       2.068069131390e+04 
       3.256996964245e-02       2.059805960868e+04 
       3.271982152255e-02       2.051291352526e+04 
       3.287024219639e-02       2.042996476672e+04 
       3.302124731133e-02       2.034936670861e+04 
       3.317285304873e-02       2.026608884175e+04 
       3.332507614720e-02       2.018321146747e+04 
       3.347793392708e-02       2.010035261638e+04 
       3.363144431630e-02       2.001638858250e+04 
       3.378562587765e-02       1.993466003314e+04 
       3.394049783761e-02       1.984974495495e+04 
       3.409608011681e-02       1.976664073369e+04 
       3.425239336228e-02       1.968327028518e+04 
       3.440945898153e-02       1.960020044429e+04 
       3.456729917870e-02       1.951712145277e+04 
       3.472593699283e-02       1.943404651102e+04 
       3.488539633846e-02       1.935373083924e+04 
       3.504570204869e-02       1.927081099020e+04 
       3.520687992096e-02       1.918683353320e+04 
       3.536895676561e-02       1.910392230895e+04 
       3.553196045763e-02       1.902158278595e+04 
       3.569591999163e-02       1.893883788686e+04 
       3.586086554044e-02       1.885574585589e+04 
       3.602682851757e-02       1.877301504604e+04 
       3.619384164382e-02       1.869000698605e+04 
       3.636193901838e-02       1.860763562652e+04 
       3.653115619485e-02       1.852252492790e+04 
       3.670153026244e-02       1.844227791000e+04 
       3.687309993301e-02       1.835968055114e+04 
       3.704590563418e-02       1.827697987795e+04 
       3.721998960928e-02       1.819263424299e+04 
       3.739539602454e-02       1.811049074456e+04 
       3.757217108434e-02       1.802784723412e+04 
       3.775036315504e-02       1.794648043469e+04 
       3.793002289839e-02       1.786342698531e+04 
       3.811120341523e-02       1.778087914802e+04 
       3.829396040055e-02       1.769651974401e+04 
       3.847835231094e-02       1.761396834146e+04 
       3.866444054566e-02       1.753394717168e+04 
       3.885228964265e-02       1.745145439326e+04 
       3.904196749098e-02       1.736732805521e+04 
       3.923354556135e-02       1.728600336408e+04 
       3.942709915664e-02       1.720270864576e+04 
       3.962270768442e-02       1.712151144201e+04 
       3.982045495394e-02       1.703842434874e+04 
       4.002042950009e-02       1.695632943895e+04 
       4.022272493738e-02       1.687170194295e+04 
       4.042744034736e-02       1.678910427416e+04 
       4.063468070307e-02       1.670643509545e+04 
       4.084455733515e-02       1.662585776748e+04 
       4.105718844416e-02       1.654208079748e+04 
       4.127269966499e-02       1.646045291534e+04 
       4.149122468950e-02       1.637704225090e+04 
       4.171290595480e-02       1.629319122829e+04 
       4.193789540549e-02       1.621194290669e+04 
       4.216635533947e-02       1.612876414167e+04 
       4.239845934830e-02       1.604570313534e+04 
       4.263439336506e-02       1.596107181068e+04 
       4.287435683436e-02       1.587759087034e+04 
       4.311856402179e-02       1.579509600139e+04 
       4.336724548290e-02       1.571161472933e+04 
       4.362064971506e-02       1.562580116923e+04 
       4.387904501985e-02       1.554146015750e+04 
       4.414272160814e-02       1.545671537233e+04 
       4.441199398619e-02       1.537204954158e+04 
       4.468720366785e-02       1.528706804677e+04 
       4.496872226673e-02       1.520181554269e+04 
       4.525695503232e-02       1.511828357073e+04 
       4.555234490684e-02       1.503167219017e+04 
       4.585537719512e-02       1.494544315851e+04 
       4.616658495875e-02       1.485914530957e+04 
       4.648655526954e-02       1.477190731605e+04 
       4.681593648636e-02       1.468469854819e+04 
       4.715544675612e-02       1.459630262429e+04 
       4.750588398499e-02       1.450675347283e+04 
       4.786813758373e-02       1.441672560659e+04 
       4.824320236275e-02       1.432845057708e+04 
       4.863219504441e-02       1.423778524570e+04 
       4.903637397621e-02       1.414510942428e+04 
       4.945716277601e-02       1.405247465134e+04 
       4.989617882942e-02       1.395882612816e+04 
       5.035526779912e-02       1.386443864837e+04 
       5.083654561184e-02       1.376776823424e+04 
       5.134244977476e-02       1.367014831339e+04 
       5.187580235723e-02       1.357029268412e+04 
       5.243988756765e-02       1.347105365172e+04 
       5.303854756107e-02       1.336671491184e+04 
       5.367630090003e-02       1.326220692134e+04 
       5.435848885766e-02       1.315256543426e+04 
       5.509145524882e-02       1.304145840517e+04 
       5.588276515079e-02       1.292354768719e+04 
       5.674146560025e-02       1.280202255317e+04 
       5.767838492315e-02       1.267399328449e+04 
       5.870645271078e-02       1.253969608264e+04 
       5.984099268788e-02       1.239286999989e+04 
       6.109988561757e-02       1.223335635894e+04 
       6.250340827306e-02       1.205664125272e+04 
       6.407342945967e-02       1.185649636153e+04 
       6.583153557715e-02       1.162497884770e+04 
       6.779572465110e-02       1.135438004964e+04 
       6.997582880952e-02       1.103632633223e+04 
       7.236895505710e-02       1.066241911100e+04 
       7.495737537645e-02       1.023101007469e+04 
       7.771092304923e-02       9.746117309803e+03 
       8.059335772650e-02       9.222709547658e+03 
       8.356949690594e-02       8.677178530286e+03 
       8.660998113706e-02       8.134018850797e+03 
       8.969282290170e-02       7.612593559626e+03 
       9.280274438625e-02       7.134022070973e+03 
       9.592964765176e-02       6.706932796425e+03 
       9.906707075886e-02       6.340035189578e+03 
       1.022109621403e-01       6.033441153121e+03 
       1.053588135154e-01       5.784279819082e+03 
       1.085090840347e-01       5.584845762903e+03 
       1.116608315478e-01       5.425485347045e+03 
       1.148134815335e-01       5.294804581295e+03 
       1.179666841530e-01       5.181130463164e+03 
       1.211202265005e-01       5.073011356668e+03 
       1.242739789883e-01       4.960711381353e+03 
       1.274278626794e-01       4.837302409291e+03 
       1.305818294167e-01       4.697807135900e+03 
       1.337358497481e-01       4.541553566631e+03 
       1.368899055916e-01       4.369675143250e+03 
       1.400439857827e-01       4.186204500323e+03 
       1.431980833695e-01       3.996671410043e+03 
       1.463521939706e-01       3.806855722390e+03 
       1.495063147774e-01       3.623785770767e+03 
       1.526604439471e-01       3.451948210977e+03 
       1.558145802338e-01       3.295771183751e+03 
       1.589687227635e-01       3.157476453386e+03 
       1.621228708968e-01       3.038787060361e+03 
       1.652770241445e-01       2.938523479310e+03 
       1.684311821161e-01       2.855498417717e+03 
       1.715853444875e-01       2.786941359707e+03 
       1.747395109810e-01       2.729036669428e+03 
       1.778936813529e-01       2.679003240419e+03 
       1.810478553849e-01       2.633218861963e+03 
       1.842020328790e-01       2.587609857789e+03 
       1.873562136538e-01       2.539219632700e+03 
       1.905103975419e-01       2.486251094869e+03 
       1.936645843881e-01       2.427205064686e+03 
       1.968187740480e-01       2.362207702709e+03 
       1.999729663866e-01       2.292121102570e+03 
       2.031271612777e-01       2.218417950397e+03 
       2.062813586032e-01       2.143117105877e+03 
       2.094355582520e-01       2.068130554765e+03 
       2.125897601200e-01       1.995374950365e+03 
       2.157439641089e-01       1.926527488762e+03 
       2.188981701265e-01       1.862563464849e+03 
       2.220523780856e-01       1.804609074902e+03 
       2.252065879041e-01       1.752788434524e+03 
       2.283607995045e-01       1.707579729449e+03 
       2.315150128133e-01       1.668086914057e+03 
       2.346692277612e-01       1.633626037543e+03 
       2.378234442826e-01       1.603162129156e+03 
       2.409776623154e-01       1.575357245141e+03 
       2.441318818004e-01       1.549142661319e+03 
       2.472861026819e-01       1.523259089551e+03 
       2.504403249067e-01       1.496929281383e+03 
       2.535945484243e-01       1.469436214115e+03 
       2.567487731870e-01       1.440345455935e+03 
       2.599029991489e-01       1.409554908162e+03 
       2.630572262668e-01       1.377166515747e+03 
       2.662114544994e-01       1.343536797805e+03 
       2.693656838071e-01       1.309253605363e+03 
       2.725199141526e-01       1.274878160642e+03 
       2.756741454999e-01       1.241164498513e+03 
       2.788283778148e-01       1.208698076198e+03 
       2.819826110648e-01       1.178054551791e+03 
       2.851368452186e-01       1.149458934068e+03 
       2.882910802464e-01       1.123148791767e+03 
       2.914453161196e-01       1.098939459808e+03 
       2.945995528111e-01       1.076963894069e+03 
       2.977537902945e-01       1.056957866540e+03 
       3.009080285449e-01       1.038370946850e+03 
       3.040622675383e-01       1.021035145409e+03 
       3.072165072517e-01       1.004465606289e+03 
       3.103707476630e-01       9.883718832019e+02 
       3.135249887511e-01       9.723514422791e+02 
       3.166792304956e-01       9.561538711671e+02 
       3.198334728770e-01       9.396341349321e+02 
       3.229877158766e-01       9.226725211124e+02 
       3.261419594763e-01       9.053300871862e+02 
