# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652115602026e-10       7.655860146806e-15       2.357193760693e-13       0.000000000000e+00       8.395185258457e-11       8.771646539723e-12      -6.824749056622e-15 
   41       1.676887021585e-10       8.316496075198e-15       2.264649813171e-13       0.000000000000e+00       7.979545071549e-11       8.383265768517e-12      -6.325948877494e-15 
   42       1.701906904676e-10       9.012696587499e-15       2.158388504006e-13       0.000000000000e+00       7.590847632621e-11       8.013887627691e-12      -6.288730059424e-15 
   43       1.727196485542e-10       9.745100803800e-15       2.037845616189e-13       0.000000000000e+00       7.228059260524e-11       7.664964799918e-12      -6.568667939029e-15 
   44       1.752741176103e-10       1.051430415056e-14       1.902409912912e-13       0.000000000000e+00       6.888537888765e-11       7.336982525745e-12      -6.984343993490e-15 
   45       1.778508964088e-10       1.132085224325e-14       1.751486531126e-13       0.000000000000e+00       6.568976349262e-11       7.029620054461e-12      -7.357534155663e-15 
   46       1.804520390342e-10       1.216522542600e-14       1.584719494736e-13       0.000000000000e+00       6.268870211839e-11       6.742501015792e-12      -7.653490097271e-15 
   47       1.830793555590e-10       1.304784594829e-14       1.401828698801e-13       0.000000000000e+00       5.987868908894e-11       6.474516902610e-12      -7.878706499629e-15 
   48       1.857321877221e-10       1.396907920950e-14       1.202547926208e-13       0.000000000000e+00       5.724729818346e-11       6.223524486972e-12      -8.042242021896e-15 
   49       1.884071859985e-10       1.492923137791e-14       9.866246064379e-14       0.000000000000e+00       5.477251932199e-11       5.986271750957e-12      -8.155878640041e-15 
   50       1.911003500756e-10       1.592854365732e-14       7.538026494796e-14       0.000000000000e+00       5.242938512893e-11       5.759325842066e-12      -8.234691455457e-15 
